Comunidad,Grupo Penal,Rango Edad,Sexo,Año,Detenciones e investigados,Victimizaciones
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2014,16.0,107.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2013,25.0,87.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2012,17.0,86.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2011,22.0,86.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2019,116.0,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2018,72.0,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2017,103.0,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2016,99.0,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2015,104.0,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2014,89.0,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2013,93.0,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2012,69.0,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2011,84.0,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2019,42.0,663.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2018,30.0,582.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2017,35.0,515.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2016,33.0,1114.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2015,25.0,458.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2014,22.0,357.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2013,34.0,371.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2012,32.0,317.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2011,31.0,306.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2019,64.0,663.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2018,46.0,557.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2017,47.0,536.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2016,44.0,1174.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2015,37.0,479.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2014,33.0,350.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2013,29.0,328.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2012,30.0,298.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2011,26.0,292.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2019,14.0,1.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2018,13.0,2.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2017,20.0,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2016,21.0,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2015,12.0,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2014,5.0,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2013,9.0,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2012,16.0,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2011,7.0,0.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2019,25.0,387.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2018,24.0,276.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2017,17.0,306.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2016,13.0,353.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2015,14.0,229.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2014,10.0,156.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2013,15.0,160.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2012,14.0,128.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2011,5.0,81.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2019,13.0,403.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2018,2.0,388.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2017,7.0,292.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2016,4.0,656.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2015,1.0,251.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2014,3.0,170.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2013,7.0,149.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2012,1.0,134.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2011,2.0,102.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2019,4.0,790.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2018,2.0,664.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2017,5.0,598.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2016,2.0,1009.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2015,2.0,480.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2014,0.0,326.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2013,3.0,309.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2012,1.0,263.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2011,0.0,183.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2019,0.0,274.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2018,0.0,268.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2017,0.0,199.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2016,0.0,237.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2015,0.0,181.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2014,0.0,133.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2013,0.0,112.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2012,0.0,89.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2011,0.0,43.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2019,0.0,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2018,0.0,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2017,0.0,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2016,2.0,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2015,1.0,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2014,1.0,1.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2013,3.0,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2012,1.0,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2011,5.0,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2019,0.0,478.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2018,0.0,467.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2017,0.0,367.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2016,0.0,492.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2015,0.0,311.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2014,1.0,200.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2013,1.0,212.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2012,4.0,143.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2011,0.0,88.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2019,93.0,432.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2018,85.0,308.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2017,75.0,342.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2016,64.0,325.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2015,92.0,290.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2014,72.0,222.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2013,76.0,228.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2012,71.0,166.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2011,44.0,159.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2019,42.0,703.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2018,30.0,616.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2017,43.0,670.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2016,37.0,527.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2015,31.0,534.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2014,35.0,471.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2013,24.0,459.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2012,26.0,404.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2011,19.0,385.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2019,234.0,1135.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2018,193.0,924.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2017,169.0,1012.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2016,178.0,852.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2015,221.0,825.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2014,206.0,694.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2013,205.0,687.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2012,180.0,570.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2011,197.0,544.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2019,79.0,926.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2018,53.0,961.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2017,48.0,925.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2016,56.0,1155.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2015,79.0,955.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2014,73.0,723.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2013,85.0,656.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2012,69.0,684.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2011,81.0,710.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2019,517.0,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2018,447.0,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2017,423.0,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2016,396.0,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2015,491.0,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2014,498.0,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2013,438.0,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2012,479.0,2.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2011,510.0,1.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2019,172.0,2140.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2018,129.0,2109.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2017,109.0,2087.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2016,108.0,2170.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2015,140.0,1937.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2014,132.0,1721.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2013,137.0,1627.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2012,128.0,1679.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2011,122.0,1847.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2019,325.0,2099.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2018,224.0,2245.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2017,242.0,2096.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2016,206.0,2034.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2015,254.0,1874.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2014,260.0,1905.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2013,261.0,1792.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2012,253.0,1909.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2011,248.0,2058.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2019,77.0,4.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2018,69.0,6.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2017,37.0,9.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2016,40.0,13.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2015,50.0,8.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2014,56.0,7.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2013,69.0,15.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2012,55.0,19.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2011,47.0,21.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2019,139.0,1584.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2018,104.0,1640.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2017,108.0,1501.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2016,88.0,1566.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2015,103.0,1391.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2014,125.0,1304.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2013,98.0,1227.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2012,110.0,1184.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2011,109.0,1275.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2019,38.0,1358.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2018,24.0,1311.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2017,22.0,1137.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2016,27.0,1075.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2015,25.0,967.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2014,31.0,895.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2013,34.0,901.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2012,21.0,831.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2011,27.0,890.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2019,21.0,2954.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2018,16.0,2959.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2017,18.0,2648.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2016,18.0,2652.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2015,12.0,2370.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2014,18.0,2213.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2013,17.0,2145.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2012,18.0,2030.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2011,22.0,2184.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2019,4.0,1208.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2018,7.0,1145.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2017,1.0,950.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2016,2.0,999.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2015,8.0,881.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2014,1.0,788.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2013,5.0,756.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2012,3.0,842.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2011,4.0,836.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2019,5.0,7.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2018,4.0,12.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2017,5.0,12.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2016,4.0,14.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2015,4.0,9.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2014,7.0,9.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2013,13.0,17.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2012,28.0,12.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2011,54.0,11.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2019,2.0,1961.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2018,3.0,1906.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2017,2.0,1620.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2016,4.0,1605.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2015,2.0,1377.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2014,3.0,1263.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2013,7.0,1200.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2012,15.0,1321.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2011,16.0,1283.0
Total Nacional,Contra el honor,< 18,Masculino,2019,3.0,20.0
Total Nacional,Contra el honor,< 18,Masculino,2018,9.0,24.0
Total Nacional,Contra el honor,< 18,Masculino,2017,13.0,36.0
Total Nacional,Contra el honor,< 18,Masculino,2016,11.0,20.0
Total Nacional,Contra el honor,< 18,Masculino,2015,15.0,23.0
Total Nacional,Contra el honor,< 18,Masculino,2014,12.0,29.0
Total Nacional,Contra el honor,< 18,Masculino,2013,15.0,21.0
Total Nacional,Contra el honor,< 18,Masculino,2012,11.0,19.0
Total Nacional,Contra el honor,< 18,Masculino,2011,14.0,16.0
Total Nacional,Contra el honor,< 18,Femenino,2019,1.0,68.0
Total Nacional,Contra el honor,< 18,Femenino,2018,11.0,89.0
Total Nacional,Contra el honor,< 18,Femenino,2017,0.0,102.0
Total Nacional,Contra el honor,< 18,Femenino,2016,4.0,107.0
Total Nacional,Contra el honor,< 18,Femenino,2015,11.0,135.0
Total Nacional,Contra el honor,< 18,Femenino,2014,21.0,151.0
Total Nacional,Contra el honor,< 18,Femenino,2013,10.0,127.0
Total Nacional,Contra el honor,< 18,Femenino,2012,11.0,73.0
Total Nacional,Contra el honor,< 18,Femenino,2011,8.0,83.0
Total Nacional,Contra el honor,18 a 25,Masculino,2019,15.0,88.0
Total Nacional,Contra el honor,18 a 25,Masculino,2018,6.0,113.0
Total Nacional,Contra el honor,18 a 25,Masculino,2017,12.0,138.0
Total Nacional,Contra el honor,18 a 25,Masculino,2016,13.0,127.0
Total Nacional,Contra el honor,18 a 25,Masculino,2015,31.0,158.0
Total Nacional,Contra el honor,18 a 25,Masculino,2014,27.0,180.0
Total Nacional,Contra el honor,18 a 25,Masculino,2013,27.0,148.0
Total Nacional,Contra el honor,18 a 25,Masculino,2012,18.0,92.0
Total Nacional,Contra el honor,18 a 25,Masculino,2011,18.0,99.0
Total Nacional,Contra el honor,18 a 25,Femenino,2019,9.0,54.0
Total Nacional,Contra el honor,18 a 25,Femenino,2018,6.0,63.0
Total Nacional,Contra el honor,18 a 25,Femenino,2017,4.0,70.0
Total Nacional,Contra el honor,18 a 25,Femenino,2016,4.0,49.0
Total Nacional,Contra el honor,18 a 25,Femenino,2015,19.0,104.0
Total Nacional,Contra el honor,18 a 25,Femenino,2014,21.0,84.0
Total Nacional,Contra el honor,18 a 25,Femenino,2013,10.0,69.0
Total Nacional,Contra el honor,18 a 25,Femenino,2012,20.0,74.0
Total Nacional,Contra el honor,18 a 25,Femenino,2011,10.0,72.0
Total Nacional,Contra el honor,26 a 40,Masculino,2019,54.0,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2018,23.0,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2017,24.0,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2016,21.0,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2015,76.0,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2014,73.0,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2013,89.0,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2012,61.0,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2011,52.0,2.0
Total Nacional,Contra el honor,26 a 40,Femenino,2019,14.0,172.0
Total Nacional,Contra el honor,26 a 40,Femenino,2018,21.0,199.0
Total Nacional,Contra el honor,26 a 40,Femenino,2017,13.0,215.0
Total Nacional,Contra el honor,26 a 40,Femenino,2016,10.0,209.0
Total Nacional,Contra el honor,26 a 40,Femenino,2015,38.0,321.0
Total Nacional,Contra el honor,26 a 40,Femenino,2014,38.0,309.0
Total Nacional,Contra el honor,26 a 40,Femenino,2013,31.0,318.0
Total Nacional,Contra el honor,26 a 40,Femenino,2012,30.0,285.0
Total Nacional,Contra el honor,26 a 40,Femenino,2011,42.0,295.0
Total Nacional,Contra el honor,41 a 50,Masculino,2019,27.0,284.0
Total Nacional,Contra el honor,41 a 50,Masculino,2018,17.0,296.0
Total Nacional,Contra el honor,41 a 50,Masculino,2017,25.0,325.0
Total Nacional,Contra el honor,41 a 50,Masculino,2016,10.0,352.0
Total Nacional,Contra el honor,41 a 50,Masculino,2015,35.0,519.0
Total Nacional,Contra el honor,41 a 50,Masculino,2014,38.0,530.0
Total Nacional,Contra el honor,41 a 50,Masculino,2013,32.0,480.0
Total Nacional,Contra el honor,41 a 50,Masculino,2012,30.0,496.0
Total Nacional,Contra el honor,41 a 50,Masculino,2011,40.0,519.0
Total Nacional,Contra el honor,41 a 50,Femenino,2019,6.0,0.0
Total Nacional,Contra el honor,41 a 50,Femenino,2018,10.0,2.0
Total Nacional,Contra el honor,41 a 50,Femenino,2017,10.0,0.0
Total Nacional,Contra el honor,41 a 50,Femenino,2016,3.0,2.0
Total Nacional,Contra el honor,41 a 50,Femenino,2015,24.0,5.0
Total Nacional,Contra el honor,41 a 50,Femenino,2014,15.0,3.0
Total Nacional,Contra el honor,41 a 50,Femenino,2013,14.0,2.0
Total Nacional,Contra el honor,41 a 50,Femenino,2012,22.0,3.0
Total Nacional,Contra el honor,41 a 50,Femenino,2011,15.0,5.0
Total Nacional,Contra el honor,51 a 65,Masculino,2019,18.0,211.0
Total Nacional,Contra el honor,51 a 65,Masculino,2018,10.0,178.0
Total Nacional,Contra el honor,51 a 65,Masculino,2017,9.0,223.0
Total Nacional,Contra el honor,51 a 65,Masculino,2016,9.0,195.0
Total Nacional,Contra el honor,51 a 65,Masculino,2015,19.0,319.0
Total Nacional,Contra el honor,51 a 65,Masculino,2014,18.0,318.0
Total Nacional,Contra el honor,51 a 65,Masculino,2013,23.0,268.0
Total Nacional,Contra el honor,51 a 65,Masculino,2012,18.0,270.0
Total Nacional,Contra el honor,51 a 65,Masculino,2011,15.0,238.0
Total Nacional,Contra el honor,51 a 65,Femenino,2019,6.0,189.0
Total Nacional,Contra el honor,51 a 65,Femenino,2018,5.0,188.0
Total Nacional,Contra el honor,51 a 65,Femenino,2017,7.0,204.0
Total Nacional,Contra el honor,51 a 65,Femenino,2016,7.0,217.0
Total Nacional,Contra el honor,51 a 65,Femenino,2015,12.0,292.0
Total Nacional,Contra el honor,51 a 65,Femenino,2014,15.0,265.0
Total Nacional,Contra el honor,51 a 65,Femenino,2013,6.0,243.0
Total Nacional,Contra el honor,51 a 65,Femenino,2012,2.0,253.0
Total Nacional,Contra el honor,51 a 65,Femenino,2011,5.0,240.0
Total Nacional,Contra el honor,> 65,Masculino,2019,3.0,402.0
Total Nacional,Contra el honor,> 65,Masculino,2018,2.0,366.0
Total Nacional,Contra el honor,> 65,Masculino,2017,3.0,428.0
Total Nacional,Contra el honor,> 65,Masculino,2016,2.0,415.0
Total Nacional,Contra el honor,> 65,Masculino,2015,3.0,615.0
Total Nacional,Contra el honor,> 65,Masculino,2014,4.0,588.0
Total Nacional,Contra el honor,> 65,Masculino,2013,3.0,515.0
Total Nacional,Contra el honor,> 65,Masculino,2012,1.0,528.0
Total Nacional,Contra el honor,> 65,Masculino,2011,2.0,483.0
