Comunidad,Grupo Penal,Rango Edad,Sexo,Año,Detenciones e investigados
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2018,16.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2017,25.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2016,13.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2015,24.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2014,16.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2013,25.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2012,17.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2011,22.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2019,116.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2018,72.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2017,103.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2016,99.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2015,104.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2014,89.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2013,93.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2012,69.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2011,84.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2019,42.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2018,30.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2017,35.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2016,33.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2015,25.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2014,22.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2013,34.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2012,32.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2011,31.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2019,64.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2018,46.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2017,47.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2016,44.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2015,37.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2014,33.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2013,29.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2012,30.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2011,26.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2019,14.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2018,13.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2017,20.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2016,21.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2015,12.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2014,5.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2013,9.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2012,16.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2011,7.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2019,25.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2018,24.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2017,17.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2016,13.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2015,14.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2014,10.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2013,15.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2012,14.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2011,5.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2019,13.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2018,2.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2017,7.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2016,4.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2015,1.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2014,3.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2013,7.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2012,1.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2011,2.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2019,4.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2018,2.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2017,5.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2016,2.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2015,2.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2014,0.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2013,3.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2012,1.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2011,0.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2019,0.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2018,0.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2017,0.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2016,0.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2015,0.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2014,0.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2013,0.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2012,0.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2011,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2019,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2018,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2017,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2016,2.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2015,1.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2014,1.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2013,3.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2012,1.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2011,5.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2019,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2018,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2017,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2016,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2015,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2014,1.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2013,1.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2012,4.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2011,0.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2019,93.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2018,85.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2017,75.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2016,64.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2015,92.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2014,72.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2013,76.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2012,71.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2011,44.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2019,42.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2018,30.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2017,43.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2016,37.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2015,31.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2014,35.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2013,24.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2012,26.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2011,19.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2019,234.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2018,193.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2017,169.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2016,178.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2015,221.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2014,206.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2013,205.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2012,180.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2011,197.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2019,79.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2018,53.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2017,48.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2016,56.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2015,79.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2014,73.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2013,85.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2012,69.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2011,81.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2019,517.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2018,447.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2017,423.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2016,396.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2015,491.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2014,498.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2013,438.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2012,479.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2011,510.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2019,172.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2018,129.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2017,109.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2016,108.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2015,140.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2014,132.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2013,137.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2012,128.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2011,122.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2019,325.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2018,224.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2017,242.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2016,206.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2015,254.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2014,260.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2013,261.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2012,253.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2011,248.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2019,77.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2018,69.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2017,37.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2016,40.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2015,50.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2014,56.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2013,69.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2012,55.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2011,47.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2019,139.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2018,104.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2017,108.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2016,88.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2015,103.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2014,125.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2013,98.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2012,110.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2011,109.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2019,38.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2018,24.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2017,22.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2016,27.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2015,25.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2014,31.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2013,34.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2012,21.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2011,27.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2019,21.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2018,16.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2017,18.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2016,18.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2015,12.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2014,18.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2013,17.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2012,18.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2011,22.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2019,4.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2018,7.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2017,1.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2016,2.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2015,8.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2014,1.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2013,5.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2012,3.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2011,4.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2019,5.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2018,4.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2017,5.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2016,4.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2015,4.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2014,7.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2013,13.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2012,28.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2011,54.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2019,2.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2018,3.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2017,2.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2016,4.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2015,2.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2014,3.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2013,7.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2012,15.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2011,16.0
Total Nacional,Contra el honor,< 18,Masculino,2019,3.0
Total Nacional,Contra el honor,< 18,Masculino,2018,9.0
Total Nacional,Contra el honor,< 18,Masculino,2017,13.0
Total Nacional,Contra el honor,< 18,Masculino,2016,11.0
Total Nacional,Contra el honor,< 18,Masculino,2015,15.0
Total Nacional,Contra el honor,< 18,Masculino,2014,12.0
Total Nacional,Contra el honor,< 18,Masculino,2013,15.0
Total Nacional,Contra el honor,< 18,Masculino,2012,11.0
Total Nacional,Contra el honor,< 18,Masculino,2011,14.0
Total Nacional,Contra el honor,< 18,Femenino,2019,1.0
Total Nacional,Contra el honor,< 18,Femenino,2018,11.0
Total Nacional,Contra el honor,< 18,Femenino,2017,0.0
Total Nacional,Contra el honor,< 18,Femenino,2016,4.0
Total Nacional,Contra el honor,< 18,Femenino,2015,11.0
Total Nacional,Contra el honor,< 18,Femenino,2014,21.0
Total Nacional,Contra el honor,< 18,Femenino,2013,10.0
Total Nacional,Contra el honor,< 18,Femenino,2012,11.0
Total Nacional,Contra el honor,< 18,Femenino,2011,8.0
Total Nacional,Contra el honor,18 a 25,Masculino,2019,15.0
Total Nacional,Contra el honor,18 a 25,Masculino,2018,6.0
Total Nacional,Contra el honor,18 a 25,Masculino,2017,12.0
Total Nacional,Contra el honor,18 a 25,Masculino,2016,13.0
Total Nacional,Contra el honor,18 a 25,Masculino,2015,31.0
Total Nacional,Contra el honor,18 a 25,Masculino,2014,27.0
Total Nacional,Contra el honor,18 a 25,Masculino,2013,27.0
Total Nacional,Contra el honor,18 a 25,Masculino,2012,18.0
Total Nacional,Contra el honor,18 a 25,Masculino,2011,18.0
Total Nacional,Contra el honor,18 a 25,Femenino,2019,9.0
Total Nacional,Contra el honor,18 a 25,Femenino,2018,6.0
Total Nacional,Contra el honor,18 a 25,Femenino,2017,4.0
Total Nacional,Contra el honor,18 a 25,Femenino,2016,4.0
Total Nacional,Contra el honor,18 a 25,Femenino,2015,19.0
Total Nacional,Contra el honor,18 a 25,Femenino,2014,21.0
Total Nacional,Contra el honor,18 a 25,Femenino,2013,10.0
Total Nacional,Contra el honor,18 a 25,Femenino,2012,20.0
Total Nacional,Contra el honor,18 a 25,Femenino,2011,10.0
Total Nacional,Contra el honor,26 a 40,Masculino,2019,54.0
Total Nacional,Contra el honor,26 a 40,Masculino,2018,23.0
Total Nacional,Contra el honor,26 a 40,Masculino,2017,24.0
Total Nacional,Contra el honor,26 a 40,Masculino,2016,21.0
Total Nacional,Contra el honor,26 a 40,Masculino,2015,76.0
Total Nacional,Contra el honor,26 a 40,Masculino,2014,73.0
Total Nacional,Contra el honor,26 a 40,Masculino,2013,89.0
Total Nacional,Contra el honor,26 a 40,Masculino,2012,61.0
Total Nacional,Contra el honor,26 a 40,Masculino,2011,52.0
Total Nacional,Contra el honor,26 a 40,Femenino,2019,14.0
Total Nacional,Contra el honor,26 a 40,Femenino,2018,21.0
Total Nacional,Contra el honor,26 a 40,Femenino,2017,13.0
Total Nacional,Contra el honor,26 a 40,Femenino,2016,10.0
Total Nacional,Contra el honor,26 a 40,Femenino,2015,38.0
Total Nacional,Contra el honor,26 a 40,Femenino,2014,38.0
Total Nacional,Contra el honor,26 a 40,Femenino,2013,31.0
Total Nacional,Contra el honor,26 a 40,Femenino,2012,30.0
Total Nacional,Contra el honor,26 a 40,Femenino,2011,42.0
Total Nacional,Contra el honor,41 a 50,Masculino,2019,27.0
Total Nacional,Contra el honor,41 a 50,Masculino,2018,17.0
Total Nacional,Contra el honor,41 a 50,Masculino,2017,25.0
Total Nacional,Contra el honor,41 a 50,Masculino,2016,10.0
Total Nacional,Contra el honor,41 a 50,Masculino,2015,35.0
Total Nacional,Contra el honor,41 a 50,Masculino,2014,38.0
Total Nacional,Contra el honor,41 a 50,Masculino,2013,32.0
Total Nacional,Contra el honor,41 a 50,Masculino,2012,30.0
Total Nacional,Contra el honor,41 a 50,Masculino,2011,40.0
Total Nacional,Contra el honor,41 a 50,Femenino,2019,6.0
Total Nacional,Contra el honor,41 a 50,Femenino,2018,10.0
Total Nacional,Contra el honor,41 a 50,Femenino,2017,10.0
Total Nacional,Contra el honor,41 a 50,Femenino,2016,3.0
Total Nacional,Contra el honor,41 a 50,Femenino,2015,24.0
Total Nacional,Contra el honor,41 a 50,Femenino,2014,15.0
Total Nacional,Contra el honor,41 a 50,Femenino,2013,14.0
Total Nacional,Contra el honor,41 a 50,Femenino,2012,22.0
Total Nacional,Contra el honor,41 a 50,Femenino,2011,15.0
Total Nacional,Contra el honor,51 a 65,Masculino,2019,18.0
Total Nacional,Contra el honor,51 a 65,Masculino,2018,10.0
Total Nacional,Contra el honor,51 a 65,Masculino,2017,9.0
Total Nacional,Contra el honor,51 a 65,Masculino,2016,9.0
Total Nacional,Contra el honor,51 a 65,Masculino,2015,19.0
Total Nacional,Contra el honor,51 a 65,Masculino,2014,18.0
Total Nacional,Contra el honor,51 a 65,Masculino,2013,23.0
Total Nacional,Contra el honor,51 a 65,Masculino,2012,18.0
Total Nacional,Contra el honor,51 a 65,Masculino,2011,15.0
Total Nacional,Contra el honor,51 a 65,Femenino,2019,6.0
Total Nacional,Contra el honor,51 a 65,Femenino,2018,5.0
Total Nacional,Contra el honor,51 a 65,Femenino,2017,7.0
Total Nacional,Contra el honor,51 a 65,Femenino,2016,7.0
Total Nacional,Contra el honor,51 a 65,Femenino,2015,12.0
Total Nacional,Contra el honor,51 a 65,Femenino,2014,15.0
Total Nacional,Contra el honor,51 a 65,Femenino,2013,6.0
Total Nacional,Contra el honor,51 a 65,Femenino,2012,2.0
Total Nacional,Contra el honor,51 a 65,Femenino,2011,5.0
Total Nacional,Contra el honor,> 65,Masculino,2019,3.0
Total Nacional,Contra el honor,> 65,Masculino,2018,2.0
Total Nacional,Contra el honor,> 65,Masculino,2017,3.0
Total Nacional,Contra el honor,> 65,Masculino,2016,2.0
Total Nacional,Contra el honor,> 65,Masculino,2015,3.0
Total Nacional,Contra el honor,> 65,Masculino,2014,4.0
Total Nacional,Contra el honor,> 65,Masculino,2013,3.0
Total Nacional,Contra el honor,> 65,Masculino,2012,1.0
Total Nacional,Contra el honor,> 65,Masculino,2011,2.0
Total Nacional,Contra el honor,> 65,Femenino,2019,0.0
Total Nacional,Contra el honor,> 65,Femenino,2018,0.0
Total Nacional,Contra el honor,> 65,Femenino,2017,0.0
Total Nacional,Contra el honor,> 65,Femenino,2016,1.0
Total Nacional,Contra el honor,> 65,Femenino,2015,0.0
Total Nacional,Contra el honor,> 65,Femenino,2014,2.0
Total Nacional,Contra el honor,> 65,Femenino,2013,2.0
Total Nacional,Contra el honor,> 65,Femenino,2012,0.0
Total Nacional,Contra el honor,> 65,Femenino,2011,1.0
Total Nacional,Contra el honor,Desconocida,Masculino,2019,0.0
Total Nacional,Contra el honor,Desconocida,Masculino,2018,0.0
Total Nacional,Contra el honor,Desconocida,Masculino,2017,0.0
Total Nacional,Contra el honor,Desconocida,Masculino,2016,0.0
Total Nacional,Contra el honor,Desconocida,Masculino,2015,0.0
Total Nacional,Contra el honor,Desconocida,Masculino,2014,0.0
Total Nacional,Contra el honor,Desconocida,Masculino,2013,0.0
Total Nacional,Contra el honor,Desconocida,Masculino,2012,4.0
Total Nacional,Contra el honor,Desconocida,Masculino,2011,2.0
Total Nacional,Contra el honor,Desconocida,Femenino,2019,0.0
Total Nacional,Contra el honor,Desconocida,Femenino,2018,0.0
Total Nacional,Contra el honor,Desconocida,Femenino,2017,0.0
Total Nacional,Contra el honor,Desconocida,Femenino,2016,0.0
Total Nacional,Contra el honor,Desconocida,Femenino,2015,0.0
Total Nacional,Contra el honor,Desconocida,Femenino,2014,0.0
Total Nacional,Contra el honor,Desconocida,Femenino,2013,1.0
Total Nacional,Contra el honor,Desconocida,Femenino,2012,2.0
Total Nacional,Contra el honor,Desconocida,Femenino,2011,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2019,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2018,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2017,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2016,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2015,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2014,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2013,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2012,2.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2011,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2019,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2018,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2017,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2016,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2015,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2014,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2013,1.0
