Comunidad,Grupo Penal,Rango Edad,Sexo,Año,Victimizaciones
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2017,367.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2016,492.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2015,311.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2014,200.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2013,212.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2012,143.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2011,88.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2019,432.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2018,308.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2017,342.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2016,325.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2015,290.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2014,222.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2013,228.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2012,166.0
Total Nacional,Amenazas y coacciones,< 18,Masculino,2011,159.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2019,703.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2018,616.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2017,670.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2016,527.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2015,534.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2014,471.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2013,459.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2012,404.0
Total Nacional,Amenazas y coacciones,< 18,Femenino,2011,385.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2019,1135.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2018,924.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2017,1012.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2016,852.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2015,825.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2014,694.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2013,687.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2012,570.0
Total Nacional,Amenazas y coacciones,18 a 25,Masculino,2011,544.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2019,926.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2018,961.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2017,925.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2016,1155.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2015,955.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2014,723.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2013,656.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2012,684.0
Total Nacional,Amenazas y coacciones,18 a 25,Femenino,2011,710.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2019,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2018,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2017,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2016,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2015,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2014,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2013,0.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2012,2.0
Total Nacional,Amenazas y coacciones,26 a 40,Masculino,2011,1.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2019,2140.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2018,2109.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2017,2087.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2016,2170.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2015,1937.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2014,1721.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2013,1627.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2012,1679.0
Total Nacional,Amenazas y coacciones,26 a 40,Femenino,2011,1847.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2019,2099.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2018,2245.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2017,2096.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2016,2034.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2015,1874.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2014,1905.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2013,1792.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2012,1909.0
Total Nacional,Amenazas y coacciones,41 a 50,Masculino,2011,2058.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2019,4.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2018,6.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2017,9.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2016,13.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2015,8.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2014,7.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2013,15.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2012,19.0
Total Nacional,Amenazas y coacciones,41 a 50,Femenino,2011,21.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2019,1584.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2018,1640.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2017,1501.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2016,1566.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2015,1391.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2014,1304.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2013,1227.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2012,1184.0
Total Nacional,Amenazas y coacciones,51 a 65,Masculino,2011,1275.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2019,1358.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2018,1311.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2017,1137.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2016,1075.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2015,967.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2014,895.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2013,901.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2012,831.0
Total Nacional,Amenazas y coacciones,51 a 65,Femenino,2011,890.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2019,2954.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2018,2959.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2017,2648.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2016,2652.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2015,2370.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2014,2213.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2013,2145.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2012,2030.0
Total Nacional,Amenazas y coacciones,> 65,Masculino,2011,2184.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2019,1208.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2018,1145.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2017,950.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2016,999.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2015,881.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2014,788.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2013,756.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2012,842.0
Total Nacional,Amenazas y coacciones,> 65,Femenino,2011,836.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2019,7.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2018,12.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2017,12.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2016,14.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2015,9.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2014,9.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2013,17.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2012,12.0
Total Nacional,Amenazas y coacciones,Desconocida,Masculino,2011,11.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2019,1961.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2018,1906.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2017,1620.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2016,1605.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2015,1377.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2014,1263.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2013,1200.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2012,1321.0
Total Nacional,Amenazas y coacciones,Desconocida,Femenino,2011,1283.0
Total Nacional,Contra el honor,< 18,Masculino,2019,20.0
Total Nacional,Contra el honor,< 18,Masculino,2018,24.0
Total Nacional,Contra el honor,< 18,Masculino,2017,36.0
Total Nacional,Contra el honor,< 18,Masculino,2016,20.0
Total Nacional,Contra el honor,< 18,Masculino,2015,23.0
Total Nacional,Contra el honor,< 18,Masculino,2014,29.0
Total Nacional,Contra el honor,< 18,Masculino,2013,21.0
Total Nacional,Contra el honor,< 18,Masculino,2012,19.0
Total Nacional,Contra el honor,< 18,Masculino,2011,16.0
Total Nacional,Contra el honor,< 18,Femenino,2019,68.0
Total Nacional,Contra el honor,< 18,Femenino,2018,89.0
Total Nacional,Contra el honor,< 18,Femenino,2017,102.0
Total Nacional,Contra el honor,< 18,Femenino,2016,107.0
Total Nacional,Contra el honor,< 18,Femenino,2015,135.0
Total Nacional,Contra el honor,< 18,Femenino,2014,151.0
Total Nacional,Contra el honor,< 18,Femenino,2013,127.0
Total Nacional,Contra el honor,< 18,Femenino,2012,73.0
Total Nacional,Contra el honor,< 18,Femenino,2011,83.0
Total Nacional,Contra el honor,18 a 25,Masculino,2019,88.0
Total Nacional,Contra el honor,18 a 25,Masculino,2018,113.0
Total Nacional,Contra el honor,18 a 25,Masculino,2017,138.0
Total Nacional,Contra el honor,18 a 25,Masculino,2016,127.0
Total Nacional,Contra el honor,18 a 25,Masculino,2015,158.0
Total Nacional,Contra el honor,18 a 25,Masculino,2014,180.0
Total Nacional,Contra el honor,18 a 25,Masculino,2013,148.0
Total Nacional,Contra el honor,18 a 25,Masculino,2012,92.0
Total Nacional,Contra el honor,18 a 25,Masculino,2011,99.0
Total Nacional,Contra el honor,18 a 25,Femenino,2019,54.0
Total Nacional,Contra el honor,18 a 25,Femenino,2018,63.0
Total Nacional,Contra el honor,18 a 25,Femenino,2017,70.0
Total Nacional,Contra el honor,18 a 25,Femenino,2016,49.0
Total Nacional,Contra el honor,18 a 25,Femenino,2015,104.0
Total Nacional,Contra el honor,18 a 25,Femenino,2014,84.0
Total Nacional,Contra el honor,18 a 25,Femenino,2013,69.0
Total Nacional,Contra el honor,18 a 25,Femenino,2012,74.0
Total Nacional,Contra el honor,18 a 25,Femenino,2011,72.0
Total Nacional,Contra el honor,26 a 40,Masculino,2019,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2018,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2017,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2016,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2015,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2014,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2013,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2012,0.0
Total Nacional,Contra el honor,26 a 40,Masculino,2011,2.0
Total Nacional,Contra el honor,26 a 40,Femenino,2019,172.0
Total Nacional,Contra el honor,26 a 40,Femenino,2018,199.0
Total Nacional,Contra el honor,26 a 40,Femenino,2017,215.0
Total Nacional,Contra el honor,26 a 40,Femenino,2016,209.0
Total Nacional,Contra el honor,26 a 40,Femenino,2015,321.0
Total Nacional,Contra el honor,26 a 40,Femenino,2014,309.0
Total Nacional,Contra el honor,26 a 40,Femenino,2013,318.0
Total Nacional,Contra el honor,26 a 40,Femenino,2012,285.0
Total Nacional,Contra el honor,26 a 40,Femenino,2011,295.0
Total Nacional,Contra el honor,41 a 50,Masculino,2019,284.0
Total Nacional,Contra el honor,41 a 50,Masculino,2018,296.0
Total Nacional,Contra el honor,41 a 50,Masculino,2017,325.0
Total Nacional,Contra el honor,41 a 50,Masculino,2016,352.0
Total Nacional,Contra el honor,41 a 50,Masculino,2015,519.0
Total Nacional,Contra el honor,41 a 50,Masculino,2014,530.0
Total Nacional,Contra el honor,41 a 50,Masculino,2013,480.0
Total Nacional,Contra el honor,41 a 50,Masculino,2012,496.0
Total Nacional,Contra el honor,41 a 50,Masculino,2011,519.0
Total Nacional,Contra el honor,41 a 50,Femenino,2019,0.0
Total Nacional,Contra el honor,41 a 50,Femenino,2018,2.0
Total Nacional,Contra el honor,41 a 50,Femenino,2017,0.0
Total Nacional,Contra el honor,41 a 50,Femenino,2016,2.0
Total Nacional,Contra el honor,41 a 50,Femenino,2015,5.0
Total Nacional,Contra el honor,41 a 50,Femenino,2014,3.0
Total Nacional,Contra el honor,41 a 50,Femenino,2013,2.0
Total Nacional,Contra el honor,41 a 50,Femenino,2012,3.0
Total Nacional,Contra el honor,41 a 50,Femenino,2011,5.0
Total Nacional,Contra el honor,51 a 65,Masculino,2019,211.0
Total Nacional,Contra el honor,51 a 65,Masculino,2018,178.0
Total Nacional,Contra el honor,51 a 65,Masculino,2017,223.0
Total Nacional,Contra el honor,51 a 65,Masculino,2016,195.0
Total Nacional,Contra el honor,51 a 65,Masculino,2015,319.0
Total Nacional,Contra el honor,51 a 65,Masculino,2014,318.0
Total Nacional,Contra el honor,51 a 65,Masculino,2013,268.0
Total Nacional,Contra el honor,51 a 65,Masculino,2012,270.0
Total Nacional,Contra el honor,51 a 65,Masculino,2011,238.0
Total Nacional,Contra el honor,51 a 65,Femenino,2019,189.0
Total Nacional,Contra el honor,51 a 65,Femenino,2018,188.0
Total Nacional,Contra el honor,51 a 65,Femenino,2017,204.0
Total Nacional,Contra el honor,51 a 65,Femenino,2016,217.0
Total Nacional,Contra el honor,51 a 65,Femenino,2015,292.0
Total Nacional,Contra el honor,51 a 65,Femenino,2014,265.0
Total Nacional,Contra el honor,51 a 65,Femenino,2013,243.0
Total Nacional,Contra el honor,51 a 65,Femenino,2012,253.0
Total Nacional,Contra el honor,51 a 65,Femenino,2011,240.0
Total Nacional,Contra el honor,> 65,Masculino,2019,402.0
Total Nacional,Contra el honor,> 65,Masculino,2018,366.0
Total Nacional,Contra el honor,> 65,Masculino,2017,428.0
Total Nacional,Contra el honor,> 65,Masculino,2016,415.0
Total Nacional,Contra el honor,> 65,Masculino,2015,615.0
Total Nacional,Contra el honor,> 65,Masculino,2014,588.0
Total Nacional,Contra el honor,> 65,Masculino,2013,515.0
Total Nacional,Contra el honor,> 65,Masculino,2012,528.0
Total Nacional,Contra el honor,> 65,Masculino,2011,483.0
Total Nacional,Contra el honor,> 65,Femenino,2019,175.0
Total Nacional,Contra el honor,> 65,Femenino,2018,151.0
Total Nacional,Contra el honor,> 65,Femenino,2017,160.0
Total Nacional,Contra el honor,> 65,Femenino,2016,120.0
Total Nacional,Contra el honor,> 65,Femenino,2015,198.0
Total Nacional,Contra el honor,> 65,Femenino,2014,194.0
Total Nacional,Contra el honor,> 65,Femenino,2013,193.0
Total Nacional,Contra el honor,> 65,Femenino,2012,172.0
Total Nacional,Contra el honor,> 65,Femenino,2011,218.0
Total Nacional,Contra el honor,Desconocida,Masculino,2019,0.0
Total Nacional,Contra el honor,Desconocida,Masculino,2018,3.0
Total Nacional,Contra el honor,Desconocida,Masculino,2017,2.0
Total Nacional,Contra el honor,Desconocida,Masculino,2016,0.0
Total Nacional,Contra el honor,Desconocida,Masculino,2015,0.0
Total Nacional,Contra el honor,Desconocida,Masculino,2014,1.0
Total Nacional,Contra el honor,Desconocida,Masculino,2013,6.0
Total Nacional,Contra el honor,Desconocida,Masculino,2012,5.0
Total Nacional,Contra el honor,Desconocida,Masculino,2011,2.0
Total Nacional,Contra el honor,Desconocida,Femenino,2019,293.0
Total Nacional,Contra el honor,Desconocida,Femenino,2018,261.0
Total Nacional,Contra el honor,Desconocida,Femenino,2017,265.0
Total Nacional,Contra el honor,Desconocida,Femenino,2016,222.0
Total Nacional,Contra el honor,Desconocida,Femenino,2015,330.0
Total Nacional,Contra el honor,Desconocida,Femenino,2014,324.0
Total Nacional,Contra el honor,Desconocida,Femenino,2013,303.0
Total Nacional,Contra el honor,Desconocida,Femenino,2012,269.0
Total Nacional,Contra el honor,Desconocida,Femenino,2011,336.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2019,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2018,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2017,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2016,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2015,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2014,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2013,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2012,1.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Masculino,2011,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2019,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2018,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2017,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2016,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2015,0.0
Total Nacional,Contra la propiedad industrial/intelectual,< 18,Femenino,2014,0.0
